Overall rank,name,sex_ratio,unemployment,homicide_rate,infant_mortality,population,urban_population,region,pop_density,internet_users,fertility,refugees,life_expectancy_male,life_expectancy_female,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment_female,secondary_school_enrollment_male,post_secondary_enrollment_female,post_secondary_enrollment_male
1,Finland,97.3,6.7,1.6,1.7,5541,85.4,Northern Europe,18.2,88.9,1.5,35,78.8,84.5,99.9,100.4,161.5,146.8,95.7,81
2,Denmark,98.9,4.8,1,3.1,5792,88,Northern Europe,136.5,97.3,1.8,47.4,78.7,82.7,100.9,101.6,129.8,128.4,93.6,68.4
3,Norway,102.2,3.3,0.5,2.1,5421,82.6,Northern Europe,14.8,96.5,1.7,59.9,80.2,84.2,100.2,100.3,114.2,119.4,98.7,66.3
4,Iceland,100.9,3.2,0.9,1.3,341,93.9,Northern Europe,3.4,99,1.8,1.2,81.2,84.3,100.3,100.4,116.9,118.1,94.4,50.6
5,Netherlands,99.3,3,0.6,2.5,17135,91.9,Western Europe,508.2,94.7,1.7,109.1,80.3,83.8,104.2,104.2,136.5,134.7,90.9,79.3
6,Switzerland,98.5,4.8,0.6,3.4,8655,73.8,Western Europe,219,89.7,1.5,120.1,81.6,85.4,104.8,105.5,100.2,104.7,60.3,58.8
7,Sweden,100.4,6.7,1.1,2,10099,87.7,Northern Europe,24.6,92.1,1.8,310.4,80.8,84.4,127.4,125.8,157.9,148.1,82.1,52.7
8,New Zealand,96.7,4,0.7,3.8,4822,86.6,Oceania,18.3,90.8,1.9,2.6,80.3,83.8,100.2,99.8,118.2,111.1,97.2,67.9
9,Canada,98.5,5.4,1.8,4.5,37742,81.5,Northern America,4.2,91,1.5,189.8,80.2,84.2,100.8,101.1,114.5,113,79.3,59.1
10,Austria,97.2,4.8,1,3.2,9006,58.5,Western Europe,109.3,87.5,1.5,163.7,78.9,83.8,103,103.2,98.3,102.5,92.5,78.1
11,Australia,99.2,5.3,0.9,3.1,25500,86.1,Oceania,3.3,86.5,1.8,129.2,81.2,85.2,100.3,100.3,141.2,159,133.3,93.8
12,Costa Rica,99.8,12.7,11.3,7.3,5094,80.1,Central America,99.8,74.1,1.8,79.2,77.4,82.7,113.8,112.8,137.7,128.1,60.7,50
13,Israel,99.1,3.8,1.5,2.7,8656,92.5,Western Asia,400,83.7,3,55.1,81,84.3,105.4,104.4,106,104.2,74.5,52.8
14,Luxembourg,102.3,5.2,0.3,2.9,626,91.2,Western Europe,241.7,97.1,1.4,5.7,79.8,84.2,102,102.6,104.8,102.6,20.1,18.2
15,United Kingdom,97.7,4.1,1.2,3.8,67886,83.7,Northern Europe,280.6,94.9,1.8,176.7,79.4,82.9,101,101.3,127.7,124.1,69.4,51
16,Ireland,98.6,5.2,0.9,2.7,4938,63.4,Northern Europe,71.7,84.5,1.8,14.4,80.4,83.7,100.7,101,124.3,126.3,82,73.7
17,Germany,97.8,3,0.9,3.2,83784,77.4,Western Europe,240.4,89.7,1.6,1461,78.7,83.6,104.2,103.9,95.2,101.4,70.7,69.8
18,Belgium,98.3,5.7,1.7,2.8,11590,98,Western Europe,382.7,88.7,1.7,83.5,79,83.7,104,103.9,167.8,149.7,90.5,69.3
19,United States,97.9,3.9,5,5.8,331003,82.5,Northern America,36.2,87.3,1.8,1043.2,76.3,81.3,101.4,102.2,98.7,99.2,102,75
20,Czech Republic,97,1.9,0.6,2.3,10709,73.9,Eastern Europe,138.6,80.7,1.6,5.7,76.5,81.8,101,100.4,103.9,103.1,75.3,53.4
22,Malta,100.6,3.4,1.6,5,442,94.7,Southern Europe,1379.8,81.7,1.4,10.7,80.4,84.1,105.1,104.9,104.7,104.8,63.2,46
23,Mexico,95.8,3.6,29.1,13.5,128933,80.4,Central America,66.3,65.8,2.1,302.1,72.1,77.8,106,105.5,108.2,100.7,40.6,39.8
24,France,93.8,8.3,1.2,3,65274,80.7,Western Europe,119.2,82,1.9,473.4,79.4,85.4,102.2,102.8,104.1,103.5,72.8,58.7
26,Chile,97.3,7.1,4.4,6.7,19116,87.6,South America,25.7,82.3,1.6,385.5,77.4,82.3,99.9,102.9,102,101.6,94.7,82.5
27,Guatemala,97.1,2.5,22.5,20.7,17916,51.4,Central America,167.2,65,2.9,146.8,71,76.8,100.5,103.2,51.4,54,23.6,20
28,Saudi Arabia,137.1,5.9,1.3,6.3,34814,84.1,Western Asia,16.2,93.3,2.3,72.5,73.7,76.5,100.3,99.2,106.8,113.2,69.9,66.3
29,Qatar,302.4,0.1,0.4,6.3,2881,99.2,Western Asia,248.2,99.7,1.9,1.5,78.9,81.8,104.4,103.3,102.7,108.3,54.9,7
30,Spain,96.6,13,0.6,2.3,46755,80.6,Southern Europe,93.7,86.1,1.3,149.1,80.6,86,103.6,101.9,126.9,125.2,97,81.1
31,Panama,100.2,3.8,9.4,14.1,4315,68.1,Central America,58,57.9,2.5,113.5,75.1,81.5,93.4,95.4,78.3,74.1,58.6,37.3
32,Brazil,96.6,12,27.4,13,212559,86.8,South America,25.4,70.4,1.7,271.6,71.9,79.3,113.4,117.4,102.4,99.3,59.4,43.5
33,Uruguay,93.5,8.8,12.1,8.7,3474,95.4,South America,19.8,74.8,2,21.5,73.9,81.3,107.6,109.3,126.6,114.1,58,34.5
34,Singapore,109.8,4.4,0.2,1.6,5850,100,South-Eastern Asia,8357.6,88.2,1.2,1.3,81.2,85.5,100.6,100.7,107,108.1,91.2,78.9
35,El Salvador,88,4.2,52,14.6,6486,72.7,Central America,313,33.8,2.1,75.3,68.1,77.5,93.3,96.3,71.4,71.9,31.1,27.5
36,Italy,94.9,9.8,0.6,2.6,60462,70.7,Southern Europe,205.6,74.4,1.3,261.4,81,85.4,100.3,103.4,100.9,101.6,71.5,53
37,Bahrain,183.1,0.8,0.5,6,1702,89.4,Western Asia,2238.9,98.6,2,0.3,76.2,78.2,98.8,100,101.7,95.8,67.8,37
38,Slovakia,94.9,5.1,1.1,4.8,5460,53.7,Eastern Europe,113.5,80.7,1.5,2.5,73.7,80.8,98.4,99,91.6,90.5,56.6,37.1
40,Poland,94,3,0.7,3.3,37847,60,Eastern Europe,123.6,77.5,1.4,26.5,74.5,82.4,100,100,108.1,111.7,81.9,54.4
41,Uzbekistan,99.6,6.1,1.1,20.8,33469,50.4,Central Asia,78.7,55.2,2.4,95.9,69.4,73.6,103.4,105,92.7,93.9,8.2,11.8
42,Lithuania,86.2,6.3,4.6,4,2722,67.9,Northern Europe,43.4,79.7,1.7,5.1,70,81.1,103.9,103.9,106,110.6,84,61.4
43,Colombia,96.5,9.7,25.3,12.6,50883,81.1,South America,45.9,64.1,1.8,9717.2,74.2,79.8,112.8,116.2,100.1,95,59.7,51.1
44,Slovenia,99.2,3.8,0.5,1.9,2079,54.8,Southern Europe,103.2,79.8,1.6,1.2,78.2,83.8,100.6,100.2,117.1,114.2,93,64.9
70,Serbia,96,12.7,1.2,4.9,8737,56.3,Southern Europe,99.9,73.4,1.5,250.7,73.2,78.4,100.3,100.3,95.6,94.6,78.3,56.7
70,Serbia,96,12.7,1.2,4.9,8737,56.3,Southern Europe,99.9,73.4,1.5,250.7,73.2,78.4,100.3,100.3,95.6,94.6,78.3,56.7
47,Argentina,95.3,10.4,5.3,10.2,45196,92,South America,16.5,74.3,2.3,165.6,73,79.8,109.6,109.9,111,106.5,112.8,67.8
48,Romania,94.6,3.9,1.3,6.7,19238,54.1,Eastern Europe,83.6,70.7,1.6,4.8,72.4,79.3,84.6,85.7,91.4,91.1,55.4,43.8
49,Cyprus,99.9,7.2,1.3,3.5,1207,66.8,Western Asia,130.7,84.4,1.3,33.3,78.6,82.8,99.4,99.3,99.5,101.1,82.4,69.6
50,Ecuador,100.1,4.2,5.8,13.6,17643,64,South America,71,57.3,2.4,420.5,74,79.6,104.1,102.4,102.8,100.1,48.4,41.5
51,Kuwait,157.9,2.3,1.8,7.1,4271,100,Western Asia,239.7,99.6,2.1,93.7,74.6,76.4,97.2,88.1,101,94.9,76.1,35.8
52,Thailand,94.8,0.8,2.6,7.8,69800,50.7,South-Eastern Asia,136.6,56.8,1.5,576.9,73.1,80.6,99.8,99.8,116.5,118.9,57.8,41
53,Latvia,85.5,6.5,4.4,3.3,1886,68.2,Northern Europe,30.3,83.6,1.7,225.5,69.9,79.8,99.5,99.3,110.2,111.3,105.1,72
55,Estonia,90,5.4,2.1,2,1326,69.1,Northern Europe,31.3,89.4,1.6,77,74,82.5,97.3,97.2,118.9,116.2,84.8,55.4
56,Jamaica,98.5,8,43.9,11.8,2961,56,Caribbean,273.4,55.1,2,0,72.8,75.9,88.9,93,83.6,81,34.7,19.9
57,Mauritius,97.4,6.7,2.9,11.2,1272,40.8,Eastern Africa,626.5,58.6,1.4,0,71.4,78.2,102.5,99.8,97.8,92.5,47.5,33.9
59,Honduras,99.9,5.2,38.9,15,9905,57.7,Central America,88.5,31.7,2.5,251.6,72.7,77.3,91.5,91.6,55.9,48.6,30.3,22.2
60,Kazakhstan,94.3,4.6,5.1,7.7,18777,57.5,Central Asia,7,78.9,2.8,8.9,68.8,77.4,105.3,103.5,113.8,112.7,68.4,55.4
62,Hungary,90.8,3.5,2.5,4.1,9660,71.6,Eastern Europe,106.7,76.1,1.5,6.4,73,80.1,100.5,101.1,103.6,103.4,53.9,43.3
63,Paraguay,103.3,4.8,7.1,19,7132,61.9,South America,18,65,2.4,4.3,72.1,76.2,103,105.7,78.6,73.3,40.9,28.6
65,Peru,98.7,3.2,7.9,12.8,32972,78.1,South America,25.8,52.5,2.3,860.1,73.7,79.2,105.1,108.8,103.6,109.3,72.7,68.7
66,Portugal,89.8,5.9,0.8,3,10197,65.8,Southern Europe,111.3,74.7,1.3,3,78.7,84.6,104.4,107.9,118.7,121.1,67.7,60.1
67,Pakistan,106,4.4,3.9,61.3,220892,36.9,Southern Asia,286.5,15.5,3.6,1518.4,66.1,68,86.1,102,39.1,45.9,8.3,9.6
69,Philippines,100.9,2.2,6.5,19.7,109581,47.1,South-Eastern Asia,367.5,60.1,2.6,226.8,67.1,75.3,105.5,109.4,90.6,82,40.4,30.8
73,Montenegro,97.8,14.8,2.2,2.8,628,67.2,Southern Europe,46.7,71.5,1.8,13.6,74.2,79.1,97.6,102.2,90.5,89.3,64.9,47.9
74,Tajikistan,101.6,11,1.6,29.3,9538,27.3,Central Asia,68.1,22,3.6,11.3,68.6,73,100.3,101.4,83.8,93,26.9,35.5
75,Croatia,93.1,7.1,0.6,4,4105,57.2,Southern Europe,73.4,75.3,1.4,8.3,75,81.4,96.5,96.4,101.8,97.1,78.8,57.4
76,Hong Kong,84.8,4.3,0.7,1.3,7497,100,Eastern Asia,7140,90.5,1.3,0.1,81.8,87.5,111.2,106.4,105.8,109.1,81.1,72.9
77,Dominican Republic,99.8,5.9,10,25.9,10848,81.8,Caribbean,224.5,74.8,2.4,28.9,70.7,77.1,102.5,108.8,83,77,77,43
80,Malaysia,105.7,3.4,2.1,5.9,32366,76.6,South-Eastern Asia,98.5,81.2,2,266.5,74,78.1,106,104.6,85.4,78.8,49.9,40.7
81,Belarus,87.1,4.6,2.4,3,9449,79,Eastern Europe,46.6,79.1,1.7,8.6,69.3,79.3,100.4,100.6,101.7,103.1,95.1,80.2
82,Greece,96.4,15.5,0.9,2.8,10423,79.4,Southern Europe,80.9,73,1.3,147.1,79.5,84.5,99.6,99.5,101.4,107.5,137,136.2
83,Mongolia,97.1,6,6.2,18.1,3278,68.5,Eastern Asia,2.1,47.2,2.9,0.1,65.5,73.8,102.8,105.3,94.8,88.3,76.7,54.7
85,Nigeria,102.8,8,34.5,62.1,206140,51.2,Western Africa,226.3,42,5.4,2211.1,53.3,55.1,82.2,87.2,39.8,44.1,8.3,12
85,Nigeria,102.8,8,34.5,62.1,206140,51.2,Western Africa,226.3,42,5.4,2211.1,53.3,55.1,82.2,87.2,39.8,44.1,8.3,12
86,Kyrgyzstan,97.9,6.6,2.2,15.5,6524,36.6,Central Asia,34,38,3,0.6,67.2,75.4,107.2,107.9,95,95.1,46.7,36
87,Turkmenistan,97,4.1,4.2,43.3,6031,52,Central Asia,12.8,21.3,2.8,5.2,64.5,71.5,87.5,89.2,84,87.6,6.2,9.7
88,Algeria,102.1,11.5,1.4,21.2,43851,73.2,Northern Africa,18.4,49,3,99.5,75.4,77.8,107.3,112.4,101.5,97.8,64.4,38.8
89,Morocco,98.5,9,1.4,19.9,36911,63,Northern Africa,82.7,64.8,2.4,9.1,75.1,77.5,111.5,116.1,76.6,83.7,35.7,36.2
90,Azerbaijan,99.8,6,2.2,20.8,10139,56,Western Asia,122.7,79.8,2.1,625.2,70.3,75.3,100,99.5,94.5,94.4,29.7,25.9
92,Indonesia,101.4,4.8,0.4,18.9,273524,56,South-Eastern Asia,151,39.9,2.3,14,69.3,73.6,104.6,108.1,90,87.8,39,33.8
93,China,105.3,4.4,0.5,9.9,1439324,60.3,Eastern Asia,153.3,54.3,1.7,322.4,74.5,79,100.8,99.7,88,88.3,55.9,45.9
96,Cameroon,100.1,3.4,1.4,61.2,26546,57,Middle Africa,56.2,23.2,4.6,1463.2,57.5,60,98,108.7,55.4,64.6,11.4,14.1
97,Bulgaria,94.4,3.8,1.3,6.3,6948,75.3,Eastern Europe,64,64.8,1.6,21.2,71.3,78.5,89.1,89.6,96.8,99.5,78.8,63.7
98,Ghana,102.8,4.5,2.1,35.6,31073,56.7,Western Africa,136.6,39,3.9,13.4,62.6,64.7,105.6,104.1,64.5,64.6,13.6,17.7
100,Nepal,84.5,1.5,2.3,27.9,29137,20.2,Southern Asia,203.3,34,1.9,19.3,68.8,71.7,143.5,140.8,83,77.4,12.8,12
101,Jordan,102.6,14.6,1.4,14.6,10203,91.2,Western Asia,114.9,66.8,2.8,756.1,72.7,76.1,80.7,82.2,64.2,62.1,37.4,31.5
102,Benin,99.8,2,1.1,61.1,12123,47.9,Western Africa,107.5,20,4.9,1.6,59.8,62.8,118,125.8,50.7,67.1,7.5,17
106,South Africa,97.1,28.5,36.4,27.2,59309,66.9,Southern Africa,48.9,56.2,2.4,273.5,60.2,67.1,99.1,102.6,109,100.4,26.4,18.4
107,Albania,103.7,12.8,2.3,8,2878,61.2,Southern Europe,105,71.8,1.6,4.3,76.7,80.1,109.1,105.2,95.7,95.2,67.6,43
109,Cambodia,95.4,0.7,1.8,23.7,16719,23.8,South-Eastern Asia,94.7,40,2.5,57.4,67.2,71.5,106.1,108.7,41.6,48.7,12.9,14.4
111,Senegal,95.3,6.7,0.3,32.7,16744,47.7,Western Africa,87,46,4.6,16.2,65.3,69.4,86.1,75.9,45.7,41.7,10.3,15.2
113,Namibia,94.1,20.6,17.7,33.4,2541,51,Southern Africa,3.1,51,3.4,4.3,60,65.8,122.1,126.4,70,61.5,30.3,15.3
115,Burkina Faso,99.9,6.4,1.3,54.2,20903,30,Western Africa,76.4,16,5.2,196.3,60.1,61.6,95.3,96.9,40.7,40.7,4.8,8.2
116,Armenia,88.8,16.6,1.7,10.8,2963,63.2,Western Asia,104.1,64.7,1.8,19,71.1,78.3,92.7,92.7,84.8,81.7,62.6,47.1
119,Georgia,91.1,14.7,2.2,9.4,3989,59,Western Asia,57.4,62.7,2.1,287.4,69.1,77.9,99.2,98.1,106.8,105.3,68.1,60.2
121,Kenya,98.8,2.6,4.9,36.3,53771,27.5,Eastern Africa,94.5,17.8,3.5,492.5,63.8,68.5,103.4,103,53.7,59.9,9.7,13.2
123,Mozambique,94.5,3.2,3.5,53.9,31255,36.5,Eastern Africa,39.7,10,4.9,25.1,57,62.8,108.4,116.8,33.4,37.4,6.5,8.1
124,Tunisia,98.4,16.2,3.1,12.7,11819,69.3,Northern Africa,76.1,64.2,2.2,2,74.4,78.5,114.9,115.9,99.3,86.9,41.2,22.8
125,Bangladesh,102.2,4.2,2.4,26.8,164689,37.4,Southern Asia,1265.2,15,2.1,911.8,70.5,74.1,120.8,112.4,78.3,67.4,17,24
126,Iraq,102.5,12.8,10.1,24.1,40222,70.7,Western Asia,92.6,75,3.7,2132.4,68.3,72.4,99.1,117.8,46,61.4,12,20.1
130,Sri Lanka,92.1,4.2,2.4,7.6,21413,18.6,Southern Asia,341.5,34.1,2.2,37.6,73.3,80,99.6,100.7,102.6,98,23.4,15.8
131,Myanmar,93,1.7,2.3,38.4,54410,30.9,South-Eastern Asia,83.3,30.7,2.2,883.5,63.7,69.8,109.7,114.8,71.3,65.6,22,15.6
133,Ukraine,86.3,8.9,6.2,7.2,43734,69.5,Eastern Europe,75.5,62.6,1.4,1540.4,66.8,76.6,100.1,98,95,96.9,88.8,76.8
134,Ethiopia,100.1,2.1,8.8,37,114964,21.2,Eastern Africa,115,18.6,4.3,5444.5,64.1,67.9,96.1,105.8,34.2,35.6,5.3,10.9
136,Uganda,97.2,1.9,10.5,46.1,45741,24.4,Eastern Africa,228.9,23.7,5,2445.8,60.4,65,104.1,101.3,21.8,27.5,4.1,5.6
137,Egypt,102.1,10.1,2.6,15.6,102334,42.7,Northern Africa,102.8,46.9,3.3,319.5,69.5,74.1,106.5,106.1,87.3,88.5,35.8,34.6
140,India,108.2,5.4,3.1,32,1380004,34.5,Southern Asia,464.1,34.4,2.2,206.6,68.1,70.5,121.1,105.6,76.6,73.9,29.1,27.2
141,Liberia,101.1,2.7,3.3,54.1,5058,51.6,Western Africa,52.5,8,4.4,8.8,62.2,65,84.7,85.5,32.9,42.8,9.2,14.7
144,Lesotho,97.4,22.8,43.6,62.3,2142,28.6,Southern Africa,70.6,29,3.2,0.1,50.4,56.8,117.8,124.1,71.3,52.8,12.4,8
145,Burundi,98.5,1.4,6.1,42.4,11891,13.4,Eastern Africa,463,2.7,5.4,121.2,59.2,62.8,122.2,120.7,51.1,45.8,3.8,8.4
146,Zimbabwe,91.3,5,7.5,38.7,14863,32.2,Eastern Africa,38.4,27.1,3.6,20.8,59.2,62.2,108.7,111.1,51.3,53.5,9.2,10.9
148,Botswana,93.9,18.7,15.2,30.2,2352,70.2,Southern Africa,4.1,47,2.9,2.3,66,71.9,102.1,104.4,83.5,76.4,29.2,20.5
150,Malawi,97.3,5.7,1.8,41.3,19130,17.2,Eastern Africa,202.9,13.8,4.2,39.3,60.3,66.6,143.1,141.8,39.9,40.6,0.6,1
151,Yemen,101.5,12.8,6.8,43.2,29826,37.3,Western Asia,56.5,26.7,3.8,3922.9,64.4,67.7,87.1,99.9,43.3,59.6,6.2,14
152,Rwanda,96.7,1,2.6,29.2,12952,17.3,Eastern Africa,525,21.8,4.1,150.1,66.3,70.5,132.1,134,43.3,38.5,6,7.5
154,Afghanistan,105.4,11.2,6.7,51.7,38928,25.8,Southern Asia,59.6,13.5,4.6,2826.4,62.8,65.8,82.9,124.2,40,70.1,4.9,14.2
155,Central African Republic,98.3,3.7,20.1,81.9,4830,41.8,Middle Africa,7.8,4.3,4.8,712.6,50.5,54.9,89.4,114.6,13.8,20.5,1.6,4.4